Match,Competition,Date,Goals,xG
Halifax Town - Maidenhead United 1:2,England. National League,2021-08-21,0,0.41
Maidenhead United - Dover Athletic 2:0,England. National League,2021-08-28,1,0.39
Weymouth - Maidenhead United 3:1,England. National League,2021-08-30,1,0.27
Maidenhead United - Torquay United 3:4,England. National League,2021-09-04,0,0.26
Maidenhead United - Stockport County 0:2,England. National League,2021-09-14,0,0
Notts County - Maidenhead United 1:0,England. National League,2021-09-18,0,0.23
Maidenhead United - Grimsby Town 1:1,England. National League,2021-09-25,0,0.21
Maidenhead United - King's Lynn Town 2:3,England. National League,2021-10-02,0,0.1
Yeovil Town - Maidenhead United 0:0,England. National League,2021-10-05,0,0
Altrincham - Maidenhead United 2:0,England. National League,2021-10-09,0,0
Maidenhead United - Woking 3:2,England. National League,2021-10-23,1,0.19
Maidenhead United - Wrexham 3:2,England. National League,2021-10-26,1,0.28
Eastleigh - Maidenhead United 1:0,England. National League,2021-10-30,0,0.04
Maidenhead United - Dagenham & Redbridge 1:4,England. National League,2021-11-13,1,0.65
Boreham Wood - Maidenhead United 4:0,England. National League,2021-11-20,0,0.02
Barnet - Maidenhead United 3:0,England. National League,2021-12-04,0,0.12
Southend United - Maidenhead United 1:1,England. National League,2021-12-07,0,0.31
Maidenhead United - Solihull Moors 0:4,England. National League,2021-12-11,0,0
Maidenhead United - Bromley 1:0,England. National League,2021-12-28,0,0.57
Aldershot Town - Maidenhead United 1:1,England. National League,2022-01-08,1,0.28
Maidenhead United - Chesterfield 3:2,England. National League,2022-01-18,2,1
Maidenhead United - Halifax Town 1:0,England. National League,2022-01-22,1,1.33
Stockport County - Maidenhead United 3:0,England. National League,2022-01-25,0,0.53
Wrexham - Maidenhead United 1:1,England. National League,2022-01-29,0,0.48
Maidenhead United - Eastleigh 2:2,England. National League,2022-02-05,0,0.14
Maidenhead United - Boreham Wood 2:0,England. National League,2022-02-19,1,0.14
Maidenhead United - Yeovil Town 1:1,England. National League,2022-02-22,0,0.12
King's Lynn Town - Maidenhead United 1:4,England. National League,2022-02-26,2,0.95
Dagenham & Redbridge - Maidenhead United 3:0,England. National League,2022-03-01,0,0.06
Maidenhead United - Altrincham 0:0,England. National League,2022-03-05,0,0.09
Maidenhead United - Wealdstone 0:2,England. National League,2022-03-08,0,0
Woking - Maidenhead United 1:0,England. National League,2022-03-12,0,0.46
Maidenhead United - Southend United 2:1,England. National League,2022-03-22,0,0.18
Maidenhead United - Barnet 1:2,England. National League,2022-03-26,0,0
Solihull Moors - Maidenhead United 3:1,England. National League,2022-04-02,1,0.27
Wealdstone - Maidenhead United 0:0,England. National League,2022-04-05,0,0.27
Dover Athletic - Maidenhead United 0:1,England. National League,2022-04-09,1,0.99
Maidenhead United - Weymouth 2:0,England. National League,2022-04-15,1,0.36
Bromley - Maidenhead United 0:0,England. National League,2022-04-18,0,1.09
