Team,Team Color,League,Total Goals,Total xG,Shots,Crosses,Dribbles,Touches in penalty area,Shots blocked,Defensive duels,Interceptions,Aerial duels,Passes,Through passes,Key passes,Long passes,To final third,Progressive passes,Progressive runs,Deep completions
Aldershot Town,#991429,NL,0.98,0.88,9,10.11,24.89,11.2,3.66,60.75,49.48,58,256.53,4.46,1.49,46.23,46.63,56.98,9.63,3.95
Altrincham,#df514f,NL,1.31,1.32,13.09,11.66,30.75,16.2,3.25,75.68,39.7,47.09,366.49,4.3,2.51,48.22,46.9,71.05,15.18,5.9
Barnet,#d77c17,NL,1.26,1.21,10.61,12.7,27.23,14.61,3.3,69.43,42.5,57.61,256.21,5.02,1.67,47.52,48.59,59.52,9.21,4.38
Boreham Wood,#dfdfdf,NL,1.05,1.17,10.14,15.39,20.45,14.3,3.09,65.27,42.41,71.34,236.19,4.86,2.29,55.35,53.51,59.16,7,4.93
Bromley,#dbd1cf,NL,1.31,1.41,11.8,15.23,22.52,17.05,3.66,64.25,43.27,60.05,298.31,5.28,2.44,51.4,54.96,68.71,11.34,5.88
Chesterfield,#76c4f3,NL,1.43,1.39,12.66,15.52,29.09,17.09,2.39,66,40.36,61.16,304.75,5.3,2.4,55.04,55.93,68.94,11.43,5.86
Dagenham & Redbridge,#d73d35,NL,1.68,1.58,13.66,18.7,26.05,18.93,2.73,62.89,41.3,63.73,341.17,3.85,3.43,52.69,58.58,74.39,14.92,6.5
Dover Athletic,#dbd1cf,NL,0.8,0.83,8.84,10.66,23.84,10.77,3.7,69.68,44.73,62.14,247.81,4,1.44,56.28,51.03,61.76,7.4,3.83
Eastleigh,#0053d9,NL,1.09,1.17,10.61,14.48,22.2,13.57,3.48,64.57,47.7,66.82,272.21,3.8,2.44,53.47,50.35,66.33,10.48,3.82
Grimsby Town,#221b22,NL,1.52,1.6,13.09,16.3,24.11,18.36,2.57,66.18,42.66,68.75,347.14,5.08,3.01,51.23,54.66,74.19,12.18,6.82
Halifax Town,#0e4bca,NL,1.31,1.18,11.36,12.11,21.05,15.68,3.41,71.05,44.43,53.7,367.14,6.06,2.28,53.51,58.52,73.63,10.86,5.26
King's Lynn Town,#ffc505,NL,1.01,1.01,10.52,13.05,16.16,12.95,3.48,67.57,45.7,67.86,305.78,5.11,1.69,57,57.3,67.97,8.38,5.2
Maidenhead United,#ffffff,NL,1.03,1.31,10.25,15,24.18,13.86,3.11,76.98,46.84,76,235.18,5.8,1.74,58.12,55.22,68.33,7.67,3.87
Notts County,#1e1d1b,NL,1.71,1.66,14.25,16.7,29.32,22.61,2.86,60.05,38.8,46.27,459.13,6.87,3.55,45.67,56.15,77.12,17.77,8.14
Solihull Moors,#cfd52d,NL,1.74,1.65,12.77,17.05,25.93,18.55,3.25,62.34,43.45,54.61,354.73,4.49,3.02,49.89,50.92,71.08,13.19,6.28
Southend United,#1b1c31,NL,0.94,1.24,10.2,17.57,24.95,15.8,2.89,67.32,42.64,68.34,328.38,5.26,2.25,57.05,61.49,70.56,9.99,5.05
Stockport County,#0772d0,NL,1.82,1.69,13.77,25.93,27.57,22.09,2.52,61.89,42,67.93,358.53,4.82,3.77,53.31,57.48,74.62,14.04,6.66
Torquay United,#f2f276,NL,1.36,1.45,11.59,15.7,27.07,18,4.2,72.5,49.36,74.84,278.28,5.47,2.44,53.75,56.13,68.82,9.39,5.8
