Player Name,Position,Team,Year Born,Minutes,Ninty Minutes,Goals,Assists,xG,npxG,xA,SoT Percentage,Shots,Shots On Target,Key Passes,Final Third Passes,Progressive Passes,Tackles,Tackles Won,Dribbled Past,Pressures,Pressures Success,Blocks,Interceptions,Clearances,Touches Penalty Area,Dribbles Success,Dribbles,Carries Progressive,Carries Final Third,Dispossessed,Receiving Progressive,Fouls Committed,Fouls Drawn,Recoveries,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won Percent,Aerial Duels Total
max aarons,DF,Norwich City,2000,2791.0,31.0,0.0,0.06,0.02,0.02,0.05,16.7,0.012580645161290323,0.001935483870967742,0.6129032258064516,1.5483870967741935,2.967741935483871,2.193548387096774,1.1935483870967742,0.6774193548387096,13.870967741935484,3.6129032258064515,2.7419354838709675,1.7419354838709677,2.225806451612903,0.9032258064516129,1.0,2.4516129032258065,5.193548387096774,1.6129032258064515,0.967741935483871,1.2903225806451613,1.0,1.8064516129032258,5.580645161290323,0.4838709677419355,1.6451612903225807,22.7,2.129032258064516
che adams,FW,Southampton,1996,2011.0,22.3,0.31,0.13,0.31,0.31,0.12,50.0,0.09641255605381165,0.04798206278026906,1.1659192825112108,0.8968609865470851,1.5246636771300448,0.7174887892376681,0.40358744394618834,0.5829596412556054,14.84304932735426,3.9013452914798203,1.1210762331838564,0.44843049327354256,0.6726457399103138,4.484304932735426,0.6278026905829596,1.4798206278026906,2.0627802690582957,0.7623318385650224,2.1524663677130045,6.995515695067264,1.390134529147982,2.10762331838565,5.381165919282511,2.5112107623318383,4.932735426008969,33.7,7.4439461883408065
rayan aÃ¯t nouri,DF,Wolves,2001,1738.0,19.3,0.05,0.1,0.04,0.04,0.07,25.0,0.03212435233160622,0.008290155440414507,0.8808290155440415,1.2953367875647668,2.176165803108808,3.7305699481865284,2.1243523316062176,0.8808290155440415,19.94818652849741,6.7357512953367875,1.6580310880829014,1.761658031088083,1.6580310880829014,2.4352331606217614,2.0207253886010363,3.6787564766839376,5.803108808290156,1.1398963730569949,1.6062176165803108,2.849740932642487,0.9844559585492227,1.1398963730569949,6.528497409326425,1.0362694300518134,0.9844559585492227,51.3,2.0207253886010363
kristoffer ajer,DF,Brentford,1998,1905.0,21.2,0.05,0.14,0.04,0.04,0.07,14.3,0.015566037735849058,0.002358490566037736,0.2830188679245283,2.169811320754717,3.3962264150943398,1.839622641509434,1.0377358490566038,0.7075471698113208,9.38679245283019,3.2547169811320757,1.6981132075471699,2.2641509433962264,3.7735849056603774,1.4622641509433962,0.5188679245283019,0.8018867924528302,3.30188679245283,1.2735849056603774,0.5188679245283019,0.8490566037735849,0.8490566037735849,0.8962264150943396,8.584905660377359,2.9245283018867925,1.7924528301886793,62.0,4.716981132075472
nathan akÃ©,DF,Manchester City,1995,923.0,10.3,0.2,0.0,0.11,0.11,0.05,40.0,0.04757281553398058,0.019417475728155338,0.1941747572815534,5.1456310679611645,3.0097087378640777,1.4563106796116503,0.48543689320388345,0.2912621359223301,6.796116504854369,2.233009708737864,1.1650485436893203,1.7475728155339805,3.0097087378640777,0.8737864077669902,0.0,0.1941747572815534,7.184466019417475,1.262135922330097,0.0970873786407767,0.1941747572815534,0.7766990291262136,0.48543689320388345,7.572815533980582,3.9805825242718442,0.7766990291262136,83.7,4.757281553398058
marc albrighton,"FW,DF",Leicester City,1989,1132.0,12.6,0.08,0.16,0.04,0.04,0.13,25.0,0.025396825396825397,0.006349206349206349,0.9523809523809524,1.6666666666666667,2.5396825396825395,2.619047619047619,1.2698412698412698,2.4603174603174605,22.936507936507937,5.0,2.142857142857143,1.9841269841269842,0.7936507936507937,0.9523809523809524,1.2698412698412698,2.9365079365079367,2.5396825396825395,0.9523809523809524,0.9523809523809524,2.4603174603174605,0.6349206349206349,1.1904761904761905,6.111111111111112,0.4761904761904762,0.873015873015873,35.3,1.3492063492063493
thiago alcÃ¡ntara,MF,Liverpool,1991,1489.0,16.5,0.06,0.18,0.11,0.11,0.12,26.1,0.08424242424242423,0.021818181818181816,1.6363636363636365,11.515151515151516,10.181818181818182,3.393939393939394,2.3636363636363638,1.6363636363636365,18.666666666666668,6.909090909090909,1.5757575757575757,2.121212121212121,1.0909090909090908,1.5757575757575757,0.9090909090909091,1.4545454545454546,9.454545454545455,2.787878787878788,0.7878787878787878,2.727272727272727,1.4545454545454546,1.5151515151515151,12.666666666666666,2.242424242424242,0.9696969696969697,69.8,3.212121212121212
trent alexander-arnold,DF,Liverpool,1998,2763.0,30.7,0.07,0.39,0.08,0.08,0.34,27.1,0.050814332247557006,0.013680781758957655,2.736156351791531,7.166123778501629,8.697068403908794,1.4332247557003257,0.7817589576547231,1.1726384364820848,9.185667752442997,3.0618892508143323,1.237785016286645,2.41042345276873,1.4006514657980456,2.768729641693811,0.8143322475570033,1.3680781758957654,4.755700325732899,2.019543973941368,0.7817589576547231,3.973941368078176,0.5211726384364821,0.2931596091205212,10.032573289902281,0.5863192182410424,0.7166123778501629,45.0,1.3029315960912053
alisson,GK,Liverpool,1992,3150.0,35.0,0.0,0.03,0.0,0.0,0.01,,0.0,0.0,0.05714285714285714,0.37142857142857144,0.0,0.0,0.0,0.05714285714285714,0.17142857142857143,0.08571428571428572,0.02857142857142857,0.0,0.02857142857142857,0.0,0.05714285714285714,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,6.171428571428572,0.0,0.0,,0.0
allan,MF,Everton,1991,2183.0,24.3,0.0,0.08,0.01,0.01,0.04,42.9,0.011934156378600822,0.0049382716049382715,0.6172839506172839,4.11522633744856,4.362139917695473,3.168724279835391,2.5102880658436213,2.551440329218107,26.666666666666664,8.395061728395062,1.8930041152263375,1.728395061728395,1.646090534979424,0.45267489711934156,0.6584362139917695,0.9876543209876543,4.362139917695473,1.1522633744855966,1.2757201646090535,0.7818930041152263,1.6049382716049383,1.1522633744855966,11.193415637860081,0.49382716049382713,0.5349794238683128,48.0,1.02880658436214
